examiner,text
Examiner 01,"energy-based process for fluid treatment and system thereof. a process for treating a fluid which comprises the step of exposing the fluid to ultraviolet radiation and high-energy ionizing radiation. it has been discovered that combining ultraviolet radiation with high-energy ionizing radiation in the treatment of a fluid results in synergistic performances of the treatment process—e.g., improvement in the inactivation or killing of microorganisms in the fluid, in destruction of organic contaminants and the like. more specifically, fluid treatment performance is improved to a level typically not possible when using ultraviolet radiation and high-energy ionizing radiation separately.."
Examiner 01,"portable water extracting and purification system and associated method. a portable water extracting and purification system for converting filtered ambient air moisture into water may include a free-standing support frame and a reservoir removably engaged to the support frame and provided with a handle. the system may further include a mechanism for filtering ambient air prior to entering the support frame. additionally, a mechanism may be included for extracting moisture from the filtered ambient air by inducing condensation to form and deposit water into the reservoir. an additional mechanism may be included for automatically toggling the moisture extracting mechanism between operating and non-operating modes upon detecting first and second triggering events respectively.."
Examiner 01,"cyclone separator smoke inlet trunking. smoke inlet trunking for a cyclone separator has two lateral faces referred to as an extrados face and an intrados face, the latter terminating at a nose of the cyclone, a ceiling face and a floor face. the intrados face, which connects a point at the start of the trunking to a point at the nose of the cyclone, has a profile such that it includes at least two separate tangents such that one tangent intersects the extrados face at a point upstream of the foot of a perpendicular to the extrados face dropped from the nose of the cyclone. the intrados face begins at the point at the start of the trunking with a first part having a rectilinear profile followed by a second part having a curvilinear profile with a point of inflexion or a second rectilinear part connected to the nose of the cyclone and the point at the start of the trunking is located at an outlet from the furnace.."
Examiner 01,"method of drying an object and apparatus for performing the same. in a method of drying an object, a first drying fluid and a second dry fluid may be first heated to form a gas mixture. the gas mixture may be second heated to prevent the mixed gas from condensing. the second heated gas mixture may be filtered to remove impurities from the second heated mixed gas. the filtered mixed gas may be then applied to the object so as to dry the object.."
Examiner 01,"electric vacuum cleaner equipped with a dust collection unit. an electric vacuum cleaner is equipped with a dust collection unit (20) that can be detachably installed in the air passage en route from a suction unit to an electric fan of the cleaner. the dust collection unit (20) comprises a dust collecting case (21) for accumulating dust sucked in, a lid member (32) that can be opened to discharge the accumulated dust; and a lock mechanism (clamp lever) (33) for locking the lid member 32 tightly closed. the electric vacuum cleaner is further provided with a lid opening mechanism (lid opening stick (35) for forcibly opening the lid member (32) in cooperation with the lock mechanism locking the lid member. even when the sealing pressure of the packing is high or when the accumulated dust does not weigh on the lid member because the dust is compacted on the inner wall of the dust collecting case, the lid member can be opened without difficulty to discharge the dust, without opening it by hand. thus, the user can avoid handling unsanitary dust.."
Examiner 01,"abs-based resin composition and method article manufactured therefrom. disclosed are an abs-based resin composition and a molded article manufactured therefrom. more particularly, the abs-based resin composition according to the present disclosure includes (a) 22.5 to 50% by weight of a vinyl cyan compound-conjugated diene-based rubber-like polymer-aromatic vinyl compound copolymer resin; (b) 47.5 to 75% by weight of an aromatic vinyl compound-vinyl cyan compound copolymer resin; (c) 1 to 6% by weight of a polyether ester amide resin; and (d) 1.5 to 3% by weight of an ethoxylated alkylamine-based antistatic agent, thereby providing a high humidification amount and less deformation. accordingly, the present disclosure relates to an abs-based resin composition suitable for application to disks for air washers, humidifiers, and the like, and a molded article manufactured therefrom.."
Examiner 01,"refrigerator. a refrigerator having a carbonated water production device, according to one concept of the present invention, comprises: a pressure regulator for adjusting and emitting the pressure of carbon dioxide emitted from a carbon dioxide cylinder; a solenoid switch valve for controlling the supply of the carbon dioxide discharged from the pressure regulator to a carbonated water tank; a connection channel for connecting the pressure regulator and the solenoid switch valve; and a relief valve arranged in the connection channel so as to discharge the carbon dioxide of the connection channel to the atmosphere if the pressure of the carbon dioxide of the connection channel is greater than a predetermined pressure limit. thus, the pressure of the carbon dioxide of the connection channel is capable of being maintained at a predetermined pressure limit or less, and solenoid malfunction can be prevented so as to improve reliability and stability of a system.."
Examiner 01,"fuel compression system with internal reheat for dew point suppression. a system for conditioning a gas. the system includes a compressor for compressing and heating the gas into a hot gas; an airflow device generating an airflow; and a heat exchanger receiving in a first flow path the hot gas and in a second flow path the airflow. heat is transferred from the hot gas to the airflow to generate a cool gas and hot airflow, and moisture condenses within the cool gas. a moisture separator separates condensed moisture from the cool gas to generate a saturated gas. a reheater receives in one flow path the saturated gas from the moisture separator and in another flow path the hot airflow from the heat exchanger. heat is transferred in the reheater from the hot airflow to the saturated gas to generate a superheated gas having a temperature above the saturation temperature of the gas.."
Examiner 01,"moisture separator heater. a moisture separator heater includes a body, a manifold installed inside the body to supply moisture-containing steam to the interior thereof, slits formed on the manifold to allow a steam reserving portion positioned at the lower part of the body to eject steam, a separator for separating moisture from steam ejected from the slits, a steam collecting portion for collecting steam after separation of moisture by the separator, a heater for heating steam ascending inside the steam collecting portion, and a partition plate installed inside the steam collecting portion.."
Examiner 01,"ultraviolet light system. according to one embodiment, an ultraviolet light system includes an ultraviolet light source configured to be coupled inside of a ventilation hood plenum, and a light power module. the light power module includes a base configured to be coupled to an outside surface of a wall of the plenum, and further includes a light connector. the light connector is configured to extend into the inside of the plenum through the wall. the ultraviolet light source further includes a light wire positionable entirely within the plenum. the light wire has a first end configured to be coupled to the ultraviolet light source, and a second end that is configured to be coupled to the light connector.."
Examiner 01,high capture efficiency baffle. a baffle is disclosed which comprises a plurality of substantially s-shaped baffle members and a frame configured to hold the baffle members substantially parallel to each other. the baffle is configured to separate one or more entrained substances from an air stream..
Examiner 01,"cyclonic vacuum cleaner. a cyclonic vacuum cleaner includes a body portion, a nozzle portion and a dirt cup which is removable from the body portion. the dirt cup collects dirt and other debris separated by a cyclone and a cyclone slinger portion in the body portion. a main filter may be housed in a transparent filter door downstream of the cyclone. the dirt cup may be inserted into and sealingly held within the body portion by using a rotational camming structure.."
Examiner 01,"process and apparatus to recover medium purity carbon dioxide. the present invention generally relates to vacuum pressure swing adsorption (vpsa) processes and apparatus to recover carbon dioxide having a purity of approximately ?80 mole percent from streams containing at least carbon dioxide and hydrogen (e.g., syngas). the feed to the co2 vpsa can be at super ambient pressure. the co2 vpsa unit produces two streams, a h2-enriched stream and a co2 product stream. the process cycle steps are selected such that there is minimal or no hydrogen losses from the process. the recovered co2 can be further upgraded, sequestered or used in applications such as enhanced oil recovery (eor).."
Examiner 01,"gas/liquid separation system. a gas/liquid separation system includes a cyclone case, a gas outflow pipe including a flange, and a housing that accommodates a valve and is welded to a peripheral edge portion of an upper opening of the cyclone case. an upper opening of a cylindrical portion of the cyclone case is blocked off by the flange of the gas outflow pipe. an annular projection is formed at the flange and at the housing. the annular projections fit together with an annular recess formed in the upper opening edge portion of the cyclone case. the gas outflow pipe and the housing are welded at the upper opening edge portion of the cyclone case. a sealing property can be secured without using seal members, and welding portions are few.."
Examiner 01,"separator element for a centrifugal separator. a centrifugal separator of vertical axis for the separation of a flowable medium, in particular a dental liquid/solids mixture, from conveying suction air has a motor-driven removal element (10) which is arranged in a flow chamber with a rotationally symmetrical peripheral wall (4) and a bottom limit. a top, central outlet (9) for the suction air and a bottom, peripheral outlet (8) for the flowable medium are flow-connected to an inlet (5) for the mixture to be separated, which opens out between these outlets, the peripheral outlet (8) being surrounded by an annular non-return valve (7). vanes (16) are provided on the removal element (10) between the mixture inlet (5) and the peripheral outlet (8). the mixture inlet (5) is formed between the bottom edge of the peripheral wall (4) and a holding ring (22) for the non-return valve (7).."
Examiner 01,processing of chlorosilane flows containing boron. the invention relates to a method for yielding boron-depleted chlorosilanes from a chlorosilane mixture containing boron by means of separation by distillation of a boron-enriched distillation flow. the invention further relate to a device for yielding boron-depleted chlorosilanes from a chlorosilane mixture containing boron..
Examiner 01,gas separation apparatus and methods. novel gas separation apparatus and methods are provided that help reduce the amount of process gas lost through the discharge outlet of either a cyclone separating gas/solid mixtures or a hydroclone separating gas/liquid mixtures. significant savings are realized by minimizing losses and neutralization costs. a cyclone or hydroclone is placed within a containment vessel that creates a contained atmosphere common to both the gas outlet and the discharge outlet of the cyclone or hydroclone. process gas mixed with the solids or mixed with the liquids in the discharge underflow are displaced from the discharge underflow and contained within the containment vessel. the displacement of the process gas is facilitated by an introduction of a small amount of purge gas to the discharge underflow exiting the cyclone or hydroclone via the discharge outlet. the mixture of displaced process gas and purge gas migrates to the top of the containment vessel where it is merged with the gas overflow exiting the cyclone or hydroclone via the gas outlet..
Examiner 01,"aroma diffuser and oil supply method. provided are an aroma diffusing apparatus and an oil supply method. the aroma diffusing apparatus includes a main body and an oil storage tube. the main body is provided with a liquid storage chamber which is configured to store a liquid. the oil storage tube is configured to store an essential oil. when the aroma diffusing apparatus works, a bottom portion of the oil storage tube may be in fluidic communication with the liquid storage chamber thus allowing the essential oil in the oil storage tube to flow from the bottom of the oil storage tube into the liquid storage chamber as the liquid in the liquid storage chamber is being consumed.."
Examiner 01,"device intended for mechanical separation of high-temperature sand present in a gas stream. a process for separation of solid particles of wide grain size distribution present in a turbulent gas stream includes, first, removal of the coarser particles in a separation chamber (1) with a high efficiency, then removal, with a high efficiency, of the remaining finer particles in a precipitation device (20). an assembly intended for separation of solid particles of wide grain size distribution present in a turbulent gas stream includes a separation chamber (1) intended to receive the solid particles in suspension and to remove from the stream the major part of the coarser particles, and a precipitation device (20) intended to separate the finer particles from the stream.."
Examiner 01,"heater unit humidification chamber monitor. a heater unit is adapted to determine if a humidification chamber thermally coupled to a hot plate of the heater unit is effectively dry based on determining a thermal response of a hot plate of the heater unit. also, the activation period during which the hot plate is being heated is adjusted toward an optimum period by adjusting the energization or power level to the heater element thereof in relation to the duration of a prior activation period. further, the air flow rate of gas through the humidification chamber may be estimated based on a temperature of the hot plate determined in predetermined relationship to the beginning of an activation period.."
Examiner 01,"droplet separator including a flow tube, and a droplet separation tube surrounding a portion of the flow tube. the invention relates to a droplet separator for separating liquid droplets as well as the solid matter and condensate associated therewith from a gas flow (a) brought into rotary motion. the droplet separator (1) comprises a gas flow duct (11, 13, 15) and a droplet separation tube (12) surrounding it. the gas flow duct is formed of three successive parts placed at a distance from one another in the direction of flow, which parts are a flow tube (11), a cone part (13) tapering in the direction of flow, and a continuation tube (15). the diameter of the front end of the cone part (13) is smaller than the diameter of the flow tube (11) and the rear end thereof is at a suitable distance from the continuation tube (15). flow gaps are formed between said successive parts (11, 13, 15) of the flow duct, which gaps provide an open flow connection between the flow duct and the droplet separation tube. the outermost layer (c) of the gas flow (a) is passed through the first gap from the flow duct (11) into the droplet separation tube (12) for separating the droplets, and the gas flow made free from droplets is passed through the second gap from the droplet separation tube (12) back into the flow duct (15).."
Examiner 01,"soil and water remediation system and method. method for treating contaminants at a site, especially a deep well site, includes delivering a first stream of a first gas to a first port of a laminar microporous diffuser and delivering a second stream of a second gas to a second port of the laminar microporous diffuser to effect mixing of the first and second streams of gases within the laminar microporous diffuser.."
Examiner 01,"multiple pump evaporative media system. an evaporative media system having multiple media stages each served by a separate pump is disclosed. in one aspect, the evaporative media system has a first media stage and a second media stage. a first pump is provided that is configured to deliver water from the first compartment of the water storage tank to the first media stage. additionally, a second pump is provided that is configured to deliver water from the first compartment of the water storage tank to the second media stage. additional media stages and pumps may be provided as well. the disclosed configuration eliminates the need for individual staging valves, provides a higher level of operational redundancy, reduces electrical consumption, and can be provided at a lower cost, as compared to many existing systems.."
Examiner 01,"vacuum cleaner. a vacuum cleaner, including a cleaner body; and a dust collector provided in the cleaner body, wherein the dust collector includes a first cyclone provided within an outer case to filter foreign matter and dust from air introduced into the dust collector; a second cyclone accommodated within the first cyclone to separate fine dust from the air introduced into the first cyclone; and a rotatable shell provided at a lower side of the first cyclone so as to define a first storage section configured to collect foreign matter and dust filtered by the first cyclone between the rotatable shell and the outer case, and wherein the rotatable shell includes a skirt that extends downward and outward from an upper portion of the rotatable shell.."
Examiner 01,"tsa process. in a tsa process of an at least two-component raw gas, to adjust for fluctuation in load, the cycle time of at least one method step is extended in the event of falling below the design load value.."
Examiner 01,"device for combining two fluid streams. a fluidic switching device is particularly for use in chromatography is described. the device allows a rapid switching between chromatographic columns; particularly, in gas chromatography.."
Examiner 01,oxygen concentrator having structural sieve beds. embodiments of oxygen concentrators having a sieve bed that includes a vessel filled with a separation medium are disclosed. the sieve bed vessel at least partially supports one chassis component of the oxygen concentrator with respect to another chassis component. of the oxygen concentrator..
Examiner 01,"apparatus for delivering humidified air to a surrounding space. an apparatus for delivering humidified air to a surrounding space and having a housing defining a space within which incoming air is treated, a receptacle for a supply of fluid, and an outlet. a plurality of operating components are supported by the housing, including a nebulizer that causes fluid in the receptacle to become entrained in incoming air. the treated air flows through the housing outlet to the surrounding space. the nebulizer operable by at least one electronic component that generates heat as the nebulizer is operated. the apparatus further has a heat sink assembly on the housing in heat exchange relationship with the at least one electronic heat generating component. the heat sink assembly is: a) cooled by air moving through the housing space; and b) not directly exposed to fluid in the receptacle.."
Examiner 01,methods and apparati for quickset gas lift separation and liquid storage. the present disclosure provides methods and apparati for separating liquids from production gases and recovering the liquids. the methods and apparati of the present disclosure can reduce or eliminate emissions compared to standard methods and devices and also eliminate the need for haul away of liquids by collecting compressor system liquids in charge vessel(s). the methods and apparati of the present disclosure can also be used to fuel the engines which operate the compressor systems using gas from the compressor drains and the gas used to drain the charge vessel(s)..
Examiner 01,respiratory gas humidifier. a gas humidifier can have a gas channel comprising an inlet and an outlet. a portion of the gas channel can have a region having a reduction in cross-sectional area relative to the portions of the gas channel outside of the region. a water conduit can extend from the region to a water reservoir. a heating element can heat water entering the region from the water conduit. water vaporized using the heating element can join the flow of gases passing through the gas channel in use..
Examiner 01,"volatilization device capable of automatic quantitative supplement of liquid. a volatilization device capable of automatic quantitative supplement of liquid includes: a vaporizer, defining an accommodation space and having an opening, air inlet and liquid inlet, the accommodation space being in communication with the opening, air inlet and liquid inlet; a gas supply, connected correspondingly to the gas inlet, allowing the gas supply to input gas to the vaporizer; and a liquid supply, having a liquid container, controller and press piece, the liquid container being connected to the controller and press piece, the controller being connected correspondingly with the liquid inlet, allowing the liquid supply to input liquid to the vaporizer, where the controller controls the start of the press piece to absorb the liquid in the liquid container, and input the liquid to the liquid inlet, and aerosol will be ejected from the opening when the liquid and gas is input to the accommodation space.."
Examiner 01,"hydrogen purification devices, components, and fuel processing systems containing the same. hydrogen purification devices, components thereof, and fuel processors and fuel cell systems containing the same. the hydrogen purification devices include an enclosure, such as a pressure vessel, that contains a separation assembly adapted to receive under pressure a mixed gas stream containing hydrogen gas and to produce a stream that contains pure or at least substantially pure hydrogen gas therefrom. in some embodiments, the enclosure is sealed without gaskets. the separation assembly includes at least one hydrogen-permeable and/or hydrogen-selective membrane, and in some embodiments the hydrogen-selective membrane is permanently and directly secured to the enclosure. in some embodiments, the membrane is welded, diffusion bonded or brazed directly to the enclosure. in some embodiments a portion of the hydrogen-selective membrane forms a portion of the sealed enclosure, and, in some embodiments, an interface is formed from consumed portions of the hydrogen-selective membrane and the enclosure.."
Examiner 01,"oil mist separation method and oil separator. a rotor separates oil mist from a target gas. this rotor includes a separation disk group having separation disks including a plurality of truncated cone shape plate members layered. the separation disk group includes a first space (hollow part with attachment opening) and a second space (gaps between separation disks), the first space formed on a rotation center side of the rotor and the second space formed between separation disks that are laid over and in communication with the first space. the first space contains an oil introducing portion (gap between the upper end of the spindle and the upper side sealing member). target gas is introduced into the first space, target gas and oil introduced from the oil introducing portion are made to flow from the first space to the second space to be discharged outward from an outer peripheral edge of the separation disk group, while rotating the rotor.."
Examiner 01,"forced-air scent dispenser. a dispenser for scents used to attract deer and other animals includes a housing with an intake on one end and an exhaust on the other. inside the housing is a timing circuit which controls a cyclic heater element. the heater element is positioned to transfer heat to a bottle of liquid scent. as the scent is warmed, its evaporation increases so that the vaporized scent escapes from the bottle. a low-voltage fan pulls air into the container through the inlet and blows it out the exhaust vent, carrying with it the scent vapor. a timing circuit causes the heater and fan to cycle on and off at predetermined intervals, and the timing circuit may be controlled by a wireless remote control unit. power to the heater and fan is supplied by a rechargeable battery.."
Examiner 01,"filter with bidirectional pleated media. pleated air filters and methods of making the pleated air filters. the pleated air filter includes an air filter media sheet which is folded along a longitudinal centerline. the air filter media sheet is separated into a plurality of sections by hinges formed out of the air filter media sheet, with each section forming a pocket. the pleated air filter further includes a plurality of spacer elements, each spacer element positioned on an outer surface of a section or within a pocket. the pleated air filter includes a polyurethane seal. the air filter media sheet is alternately folded along the hinges to form a pleat block. the polyurethane seal is positioned on a side of the pleat block such that the polyurethane seal seals the side.."
Examiner 01,"stripping absorption module. in a process, a portion of a liquid mixture flow is vaporized to produce a vapor and a depleted flow of liquid. the vapor is introduced to a brine which is adapted to exothermically absorb one or more components therefrom, and heat is withdrawn, to produce at least a flow of heat and a flow of brine which is enriched in the one or more components. the heat previously withdrawn is transferred, to drive the vaporization. this transfer can be associated with the change of a working fluid from a gaseous into a liquid state. in this case, the heat withdrawal involves the change of the working fluid from the liquid to the gaseous state. in the liquid state, the working fluid flows only by one or more of gravity, convection and wicking. in the gaseous state, the working fluid flows only by one or more of diffusion and convection.."
Examiner 01,"rotatable and stable container. aspects of the present invention comprise a container that is stably rotatable. in embodiments, a container may rotate about a central axis, wherein the container comprises at least one feature at the central axis that facilitate rotation and at least one other lateral feature that provides stability to the container to reduce the occurrence of tipping or spilling while the container is moving.."
Examiner 01,"humidifier and layered heating element. a heating apparatus includes a heating element which converts electrical power to heat energy, a heatable element having a first surface and a second surface, and a dielectric laminate layer between the heating element and the first surface of the heatable element, wherein the dielectric laminate layer is thermally conductive to transfer heat energy from the heating element to the heatable element, and wherein the second surface of the heatable element is configured heat a liquid in a container.."
Examiner 01,"fragrancing device. the invention relates to a fragrancing device comprising a housing, a fragrance cartridge, a closure element and a blower, wherein the fragrance cartridge and/or the blower and/or the closure element is arranged inside the housing and the housing has a first opening and a second opening, wherein an air flow can flow through the housing from the first opening to the second opening, wherein the fragrance cartridge can be exposed and closed by the closure element, wherein the first opening and/or the fragrance cartridge is arranged upstream of the blower relative to the air flow direction in the housing and the second opening is arranged downstream of the blower relative to the air flow direction in the housing.."
Examiner 01,"air filtering assembly. a air filtering assembly for removing particulate matter from air supplied through hvac ducts. the air filtering assembly includes a frame assembly including a connection assembly adapted for coupling to an air vent, and an air filter couplable to the frame assembly and positioned adjacent to the air vent for filtering the air directed through the air vent.."
Examiner 01,"method for generating o-rich gas from air using water. the present disclosure is directed to a method for enriching an inlet air stream utilizing a number of enrichment sub-units connected in series, where each enrichment sub-unit conducts both a dissolution and degasification cycle. each enrichment sub-unit comprises a compressor, an aeration unit, a deaeration unit, and a pump for the recirculation of water between the aeration and deaeration units. the methodology provides a manner in which the relationship between the respective henry's coefficients of the oxygen and nitrogen in water may be exploited to enrich the o2 volume percent and diminish the n2 volume percent over repeated dissolution and degasification cycles. by utilizing a number of enrichment sub-units connected in series, the water contained in each enrichment sub-unit acts to progressively increase the o2 volume percent. additional enrichment sub-units may be added and utilized until the o2 volume percent equals or exceeds a target o2 volume percent. in a particular embodiment, air having a general composition of about 78 vol. % n2 and 21 vol. % o2 is progressively enriched to provide a final mixture of about 92% vol. % o2 and 8% vol. % n2.."
Examiner 01,"water purification using organic salts. water purification using organic salts. feed water is mixed with at least one organic salt at a temperature sufficiently low to form organic salt hydrate crystals and brine. the crystals are separated from the brine, rinsed, and melted to form an aqueous solution of organic salt. some of the water is removed from the aqueous organic salt solution. the purified water is collected, and the remaining more concentrated aqueous organic salt solution is reused.."
Examiner 01,"process for the microbiological decontamination of water by means of photosensitive agents. cationic phthalocyanine and/or porphyins salts are used as photosterilising agents for microbiologically contaminated waters, particularly for inactivating gram-positive and gram-negative bacteria, yeasts, micoplasmas and parasites. synergistic action for water photosterilisation by the simultaneous use of the cationic phthalocyanine salt and a porphyrin molecule, which performs its photosterilising action by a mechanism identical with that typical of phthalocyanines, and whose visible light absorption spectrum efficiently complements the absorption of phthalocyanines. the photosterilising salts can be added to the water as a solution, or as a powder or tablet.."
Examiner 01,"aromatics-recovery process. the present invention comprises a process for recovery of sulfolane used in a solvent-extraction or extractive-distillation process. a recovery column for the sulfolane solvent comprises a liquid-jet ejector for maintaining the needed vacuum conditions, preferably using water as the liquid.."
Examiner 01,"diffusor. the invention relates to a diffusor for adding of gases into water, said diffusor comprising a perforated tube (1) and at least one supply tube (2), said the at least one supply tube (2) is at one end coupled to a source for supplying gas and at the other end in fluid communication with the perforated tube (1), the gas is supplied to the perforated tube (1) through at least one inner supply tube (4; 5; 15) extending from the supply tube (2) to the perforated tube (1). the invention is distinctive in that at the least one inner supply tube (4; 5; 15) is a non-perforating tube and has at least one outlet (4a, 5a, 15a) situated at a free end of the at least one inner supply tube (4, 5, 15), said gas is adapted to be distributed into the perforated tube (1) through the at least one outlet (4a, 5a, 15a).."
Examiner 01,"apparatus and method of removing water by changing phase of water contained gaseous material to frost phase. the present invention relates to an apparatus and a method of removing water contained in a gaseous material. an apparatus of removing water by phase-changing water contained in a gaseous material to a frost phase includes a gas inflow unit 100, a main body 200, a discharging unit 300, and a frost discharging unit 400. a method of removing water by phase-changing water contained in a gaseous material to a frost phase includes phase-changing water contained in gas to a frost phase, separating the phase-changed frost and the gas from which water is removed, discharging the gas from which the water is removed to the outside, and discharging the phase-changed frost to the outside.."
Examiner 01,modulating makeup fluid control systems and methods for same. a method for maintaining a boiling rate of a base fluid can include a determination of a fluid level of a turbulated base fluid in a reservoir. the fluid level can be determined by measuring at least one first height of the turbulated base fluid above the fluid level with at least a first sensor. the fluid level can be determined by measuring at least one second height of the turbulated base fluid below the fluid level with the first sensor. the method can include the establishment of the fluid level of the turbulated base fluid. the fluid level can be established according to the measured at least one first and second heights. the method can include the graduated introduction of an input fluid into the reservoir. a control valve can gradually introduce the input fluid in proportion to the established fluid level of the turbulated base fluid..
Examiner 01,"pressurized cyclone including agitator assembly. a pressurized cyclone for separating solid material from a fluid flow in which the solid material is entrained in a gaseous fluid maintained in an elevated pressure. the cyclone includes a housing having upper and lower ends and defining a longitudinal axis. an agitator assembly is positioned within the housing proximate the lower end, and includes a plurality of radially extending agitator members supported for rotation about the longitudinal axis. a plurality of radially extending anti-rotation members are removably supported within the side wall, wherein the plurality of anti-rotation members are axially spaced relative to the plurality of agitator members. a motor is operably connected to the agitator members for rotating the agitator members about the longitudinal axis whereby the agitator members move relative to the anti-rotation members for agitating the solid material.."
Examiner 01,"vortex generator. a vortex generator for accepting high-pressure condensible vapor and separating the condensible vapor into a relatively hot stream of vapor and a relatively cool liquid. the vortex generator includes an inlet at the first end for allowing high pressure vapor to enter, and an outlet at the second end for allowing condensed liquid to exit wherein the outlet communicates with the inlet via a longitudinal chamber. a nozzle located near the inlet having a plurality of equally-spaced tangential inlets along its perimeter for injecting the vapor that is inlet to the vortex generator into the longitudinal chamber as a high-speed vortex vapor stream proximate the longitudinal axis.."
Examiner 01,"cyclone dust-collecting apparatus. an improved cyclone dust-collecting apparatus of a vacuum cleaner for efficient collection of fine dusts. the vacuum cleaner which comprises a cyclone body integrally including a first cyclone part and a second cyclone part formed around the first cyclone part, a first cover mounted on the cyclone body and including air paths through which dust-laden air flows, a second cover concentrating and transferring air exhausted from the second cyclone part to the cyclone body, and a dust receptacle mounted under the cyclone body and collecting separated dusts.."
Examiner 01,"aroma diffuser and oil supply method. provided are an aroma diffusing apparatus and an oil supply method. the aroma diffusing apparatus includes a main body and an oil storage tube. the main body is provided with a liquid storage chamber which is configured to store a liquid. the oil storage tube is configured to store an essential oil. when the aroma diffusing apparatus works, a bottom portion of the oil storage tube may be in fluidic communication with the liquid storage chamber thus allowing the essential oil in the oil storage tube to flow from the bottom of the oil storage tube into the liquid storage chamber as the liquid in the liquid storage chamber is being consumed.."
Examiner 01,"method and device for carbonating a liquid medium, for example a beverage. a method and a device for carbonating a liquid medium, for example a beverage, by introducing co2 under pressure into the liquid medium via at least one nozzle device (5, 5a, 5b, 21) which is arranged in a housing (3, 3a-c) through which the liquid medium flows.."
Examiner 01,"apparatus for use in regenerating adsorbent. an adsorber vessel for use in the adsorption of a component from a gas and subsequent regeneration by thermally induced desorption of the component comprises an inlet for regeneration gas having an inlet nozzle containing at least one heater element, and an outlet for regeneration gas, the inlet and outlet for regeneration being separated by a flow path including a flow chamber containing a body of adsorbent, and wherein the body of adsorbent has a first end which is adjacent the inlet for regeneration gas and a second end which is remote from the inlet for regeneration gas, and the or each heater element is located so as not to penetrate through the first end of the body of adsorbent.."
Examiner 01,method and apparatus of particle transfer in multi-stage particle separators. an improved two-stage separator uses reusable containers for collecting particles separated by each separation stage. the reusable containers are constructed such that a user empties both reusable containers by the actions required to empty just one of the reusable containers..
Examiner 01,oil separator for a compressor. an oil separator for a compressor includes a wall with an inner surface defining an inner chamber. the inner chamber includes an oil accumulation region and a separator region with an impingement surface. a mixture inlet provides a passageway for an oil and gaseous refrigerant mixture to flow from the exterior of the separator into the inner chamber. oil is separated from the mixture as the mixture impinges against the impingement surface. the separated oil drains into the accumulation region and exits the separator through the oil outlet. a gas outlet provides a passageway for the gaseous refrigerant from the separator region and out of the separator..
Examiner 01,"temperature-based breakthrough detection and pressure swing adsorption systems and fuel processing systems including the same. pressure swing adsorption (psa) assemblies with temperature-based breakthrough detection systems, as well as to hydrogen-generation assemblies and/or fuel cell systems containing the same, and to methods of operating the same. the detection systems are adapted to detect a measured temperature associated with adsorbent in an adsorbent bed of a psa assembly and to control the operation of at least the psa assembly responsive at least in part thereto, such as responsive to the relationship between the measured temperature and at least one reference temperature. the reference temperature may include a stored value, a previously measured temperature and/or a temperature measured elsewhere in the psa assembly. in some embodiments, the reference temperature is associated with adsorbent downstream from the adsorbent from which the measured temperature is detected. in some embodiments, the psa cycle and/or components thereof are determined at least in part by the relationship between the measured and reference temperatures.."
Examiner 01,apparatus and method for purifying air in a ventilation system. an air purifier includes a housing having a purification chamber with an inlet to the housing for drawing in contaminated air and an outlet from the housing for releasing purified air. the air purifier also includes an inlet for introducing a fluid containing a source of antimicrobial ions into the purification chamber. the air purifier also includes at least one microwave radiation source and at least one ultraviolet radiation source which work in combination to increase the effectiveness of the antimicrobial ions. also included are filters for removing airborne particulates and adsorbing antimicrobial ions from treated air..
Examiner 01,"volatile material dispenser and method of emitting a volatile material. a method of dispensing a fragrance having at least one aroma chemical includes the step of providing a frame adapted to be attached to a dispenser for dispensing fluids and a cartridge including a volatile material containing a fragrance comprising at least one aroma chemical, wherein the cartridge is adapted for attachment to the frame. the method of dispensing further includes the steps of nebulizing water to create nebulized water particles, directing the nebulized water particles at the cartridge, and entraining volatile material from the cartridge in at least some of the nebulized water particles upon collision with the cartridge to create volatile material-infused water particles.."
Examiner 01,"valve, separation system, and method for minimizing wear. one exemplary embodiment can be a method of minimizing wear of a rotary valve. the method can include regulating a velocity of the rotary valve having a controller for communicating one or more fluids to and from an adsorption zone.."
Examiner 01,"hail tower for gas-vapor separations. a device and process for removing vapors from a gas is disclosed. a tower is provided. sub-cooled pellets are distributed by the solids distributor across a horizontal cross-section of the tower. a process gas, comprising a product vapor, passes through the gas inlet. the product vapor and the sub-cooled pellets comprise the same material. the product vapor and the sub-cooled pellets agglomerate as the product vapor desublimates onto the sub-cooled pellets, forming product pellets and a vapor-depleted gas. a crushing device, a screening device, and a solids heat exchanger are provided. a portion of the product pellets are recycled as sub-cooled pellets to the solids distributor by crushing and screening the portion of the product pellets to the size distribution of the sub-cooled pellets and cooling the portion of the product pellets to produce the sub-cooled pellets.."
Examiner 02,"pad lock with reliable change of code number. a pad lock includes an outer casing, a lock main body, and a shackle. a stem is slidably mounted in the lock main body. several number wheels are rotatably mounted around the stem. also rotatably mounted around the stem are several retaining sleeves each being releasably engaged with an associated number wheel to rotate therewith. a lever member includes a first end for releasably engaging two pin members to retain the shackle in a locked status. the lever member includes a second end with a number of tongues for engaging with the retaining sleeves. a positioning member is formed on the second end of the lever member. a safety pin is mounted to the lever member to assure the positioning member in a position that prevents setting of a new code when any one of the number wheels is not in the correct position for unlocking.."
